user_id,date,amount,type,category,balance
1,2024-01-01,50000,credit,salary,50000
1,2024-01-05,5000,debit,rent,45000
1,2024-01-10,2000,debit,groceries,43000
1,2024-01-15,1500,debit,utilities,41500
1,2024-01-20,500,debit,entertainment,41000
1,2024-02-01,50000,credit,salary,91000
1,2024-02-05,5000,debit,rent,86000
1,2024-02-12,3000,debit,groceries,83000
1,2024-02-18,1500,debit,utilities,81500
1,2024-03-01,52000,credit,salary,133500
1,2024-03-05,5000,debit,rent,128500
1,2024-03-10,2500,debit,groceries,126000
2,2024-01-01,20000,credit,salary,20000
2,2024-01-03,18000,debit,rent,2000
2,2024-01-10,500,debit,groceries,1500
2,2024-02-01,20000,credit,salary,21500
2,2024-02-02,18000,debit,rent,3500
2,2024-02-15,2000,debit,loan_repayment,1500
